,X_WGS84,Y_WGS84,anecyl
1,-96.38807361,47.08838335,1
2,-99.21852054,46.57995057,1
3,-99.12943868,45.71752825,1
4,-99.15240048,44.39921783,1
5,-96.0037378,45.74528467,1
6,-96.15654459,48.45787197,1
7,-99.32133808,45.72088433,1
8,-99.81900134,45.53032997,1
9,-96.36545766,46.77056787,1
10,-96.36457689,47.20759951,1
11,-96.29135242,47.51241982,1
12,-96.17892218,47.19737308,1
13,-96.28430525,46.31194885,1
14,-96.02195637,48.52435308,1
15,-96.26953795,47.00726021,1
16,-96.45145901,48.60041931,1
17,-96.57127538,48.69010152,1
18,-96.43149901,44.6887071,1
19,-95.74232343,46.10763971,1
20,-97.34827965,46.44888568,1
21,-96.95286378,46.12009187,1
22,-96.75410698,45.5141578,1
23,-97.37331455,46.3526686,1
24,-99.07297441,46.54834002,1
25,-96.34629965,45.33561073,1
26,-95.27826422,45.09393915,1
27,-95.8982192,46.03389451,1
28,-99.2379083,46.42345712,1
29,-96.03537873,47.03845241,1
30,-96.26625348,44.9926953,1
31,-96.4897151,47.98981074,1
32,-95.13087478,45.40636973,1
33,-95.97432614,45.55908643,1
34,-96.41669665,45.06090798,1
35,-96.1446205,47.10896911,1
36,-98.88319236,46.02210767,1
37,-99.49364972,46.45222218,1
38,-96.2120348,46.69156315,1
39,-96.37611919,47.82109698,1
40,-95.25497882,45.43000273,1
41,-96.71818399,48.92449906,1
42,-96.56885343,48.35872298,1
43,-96.36563963,46.5424835,1
44,-96.00686759,45.15165247,1
45,-96.4190451,45.24668276,1
46,-97.21130552,46.37284108,1
47,-97.11272738,46.52037938,1
48,-99.19665366,46.30132764,1
49,-97.4225252,46.54047993,1
50,-96.28609571,44.86467941,1
51,-99.63957321,44.9763466,1
52,-96.53631074,44.7517546,1
53,-99.2406942,46.17825746,1
54,-96.00702192,45.4262145,1
55,-98.88341473,46.48529164,1
56,-99.30746058,44.82318015,1
57,-96.52977347,48.79697029,1
58,-95.54796115,45.10375145,1
59,-92.489651,44.139248,1
60,-88.92833,42.189903,1
61,-88.614331,40.747105,1
62,-77.76928,44.137995,1
63,-78.603766,44.257617,1
64,-106.475393,50.964618,1
65,-89.104689,44.320933,1
66,-93.08105,43.203953,1
67,-89.898506,44.137652,1
68,-92.454224,42.69501,1
69,-76.053155,44.846177,1
70,-105.561664,40.363105,1
71,-96.473474,46.855881,1
72,-88.378293,43.062523,1
73,-89.493424,42.702871,1
74,-90.059717,43.200265,1
75,-89.720661,43.414711,1
76,-89.627084,44.592855,1
77,-87.464012,46.156096,1
78,-88.602925,42.843072,1
79,-89.286553,43.086103,1
80,-93.055061,44.391027,1
81,-78.4353,44.304472,1
82,-88.669736,41.878779,1
83,-93.13,45,1
84,-88.442003,42.836952,1
85,-89.017867,42.327387,1
86,-87.680405,41.973392,1
87,-109.282273,50.663836,1
88,-88.828448,42.600854,1
89,-114.047701,51.133798,1
90,-97.1322,50.009,1
91,-111.598672,35.134497,1
92,-114.897014,52.227178,1
93,-92.963212,44.798092,1
94,-82.399854,42.529318,1
95,-80.384842,42.578883,1
96,-96.401946,50.345925,1
97,-104.374707,37.017527,1
98,-105.193855,39.906326,1
99,-107.32715,37.20334,1
100,-105.18694,39.53832,1
101,-105.05967,39.41644,1
102,-105.204076,37.593505,1
103,-105.573032,38.168225,1
104,-105.355161,39.833261,1
105,-104.972213,38.896654,1
106,-103.62854,37.09703,1
107,-105.17323,39.34107,1
108,-104.717832,39.011738,1
109,-105.303432,39.970514,1
110,-97.620861,51.173,1
111,-97.56925,50.864944,1
112,-97.530972,50.595333,1
113,-97.034352,49.897684,1
114,-88.195737,40.053206,1
115,-87.803452,42.461458,1
116,-88.172316,41.304049,1
117,-88.830486,43.00188,1
118,-87.88287,42.650763,1
119,-87.818155,42.820246,1
120,-88.190669,42.349124,1
121,-81.84198,42.280975,1
122,-93.365432,44.835024,1
123,-90.511088,41.436631,1
124,-79.886817,44.135464,1
125,-81.614695,45.247986,1
126,-88.078537,41.59546,1
127,-103.309378,45.523524,1
128,-101.739866,43.32761,1
129,-103.322347,44.074879,1
130,-102.234982,45.693281,1
131,-102.505233,45.838118,1
132,-89.323451,41.886553,1
133,-91.932107,44.259369,1
134,-90.771891,43.427441,1
135,-84.934745,46.027815,1
136,-108.777575,49.586937,1
137,-113.052744,53.814565,1
138,-80.475075,42.67712,1
139,-87.736985,46.471577,1
140,-78.130863,44.266596,1
141,-92.046326,44.04665,1
142,-93.128205,44.786062,1
143,-87.413983,41.603946,1
144,-101.89273,43.85315,1
145,-93.716256,45.458878,1
146,-114.389756,51.167204,1
147,-89.809777,44.242511,1
148,-114.03138,50.973103,1
149,-114.234882,51.119619,1
150,-103.898799,50.791688,1
151,-113.535967,53.261296,1
152,-87.719736,43.665,1
153,-88.89875,43.136525,1
154,-79.490928,44.123517,1
155,-78.281459,44.468746,1
156,-81.831776,43.255596,1
157,-89.390331,43.691534,1
158,-79.467303,43.64826,1
159,-87.887446,42.391519,1
160,-91.137571,44.586769,1
161,-79.920153,43.268164,1
162,-79.344825,44.098878,1
163,-112.577176,52.594691,1
164,-92.101148,44.397792,1
165,-89.48525,43.124854,1
166,-89.440596,43.233504,1
167,-100.915695,46.765019,1
168,-94.025567,47.047685,1
169,-93.641929,44.942142,1
170,-92.791852,44.927188,1
171,-96.653729,45.419407,1
172,-93.334915,46.773408,1
173,-93.191946,44.90517,1
174,-92.886755,45.61243,1
175,-95.699254,44.262693,1
176,-95.049967,44.086452,1
177,-95.921256,44.343982,1
178,-91.42281,43.767743,1
179,-92.812758,44.768259,1
180,-94.233734,46.969171,1
181,-93.168729,45.380475,1
182,-95.748006,45.810665,1
183,-93.203574,46.814748,1
184,-95.200853,47.218013,1
185,-94.149118,45.694726,1
186,-94.383718,46.338265,1
187,-94.042818,45.428747,1
188,-95.492552,44.781965,1
189,-96.28013,45.230649,1
190,-95.670603,44.91614,1
191,-95.162962,45.318721,1
192,-93.694211,44.710372,1
193,-89.911793,43.891715,1
194,-78.169497,44.099012,1
195,-95.893956,45.094379,1
196,-92.75479,45.022919,1
197,-89.753006,43.291024,1
198,-93.51408,44.820873,1
199,-95.05859,46.8649,1
200,-87.859921,41.756872,1
201,-105.090783,39.063444,1
202,-89.759413,44.349322,1
203,-91.012432,43.837751,1
204,-97.454694,51.066167,1
205,-97.404694,51.249472,1
206,-87.848312,44.606002,1
207,-76.079041,45.49571,1
208,-84.672847,45.575319,1
209,-84.899292,45.747058,1
210,-85.981957,45.113771,1
211,-83.327195,45.192515,1
212,-84.290139,45.99805,1
213,-85.373992,45.796332,1
214,-86.065488,44.771831,1
215,-84.667054,45.469932,1
216,-85.536627,45.701493,1
217,-84.614939,45.332147,1
218,-85.863327,45.434324,1
219,-83.612994,42.24115,1
220,-85.9779,42.5485,1
221,-122.28,52.35,1
222,-122.75,53.92,1
223,-120.85,56.25,1
224,-113.93,49.53,1
