,X_WGS84,Y_WGS84,ascspe
1,-99.81721625,45.5331991,1
2,-96.04562377,47.41182914,1
3,-96.43010435,48.98117874,1
4,-96.11720131,44.67729967,1
5,-96.28408799,46.32445239,1
6,-99.14659342,44.39850113,1
7,-99.12709879,45.71656073,1
8,-99.48943773,46.4534824,1
9,-99.24369802,46.42573893,1
10,-96.36143604,46.7314832,1
11,-96.30248711,47.45723484,1
12,-96.38528011,46.52097261,1
13,-96.33558062,46.41553778,1
14,-95.99232685,45.8895889,1
15,-99.63600637,45.78723635,1
16,-96.35464677,47.18391556,1
17,-94.82515639,45.37891952,1
18,-96.03505712,47.03939872,1
19,-98.89053751,46.02517063,1
20,-97.36864055,46.35381139,1
21,-95.74249526,46.10854936,1
22,-99.63010015,44.97222506,1
23,-96.540969,48.657201,1
24,-97.36473978,46.44591627,1
25,-97.21140765,46.3736749,1
26,-96.2281333,46.92162527,1
27,-96.26944741,47.00780421,1
28,-96.49267064,48.76365302,1
29,-99.07244517,46.54646357,1
30,-99.31026382,44.82119309,1
31,-117.113014,43.841755,1
32,-107.240112,42.447012,1
33,-107.605697,38.679353,1
34,-111.844635,40.878526,1
35,-121.787812,38.523783,1
36,-111.618183,49.078938,1
37,-105.207358,42.189057,1
38,-106.968167,44.826952,1
39,-107.276283,44.108464,1
40,-100.716637,41.21183,1
41,-113.995812,46.865014,1
42,-122.00902,41.239201,1
43,-105.413625,51.219554,1
44,-116.223463,43.61422,1
45,-106.273248,37.648663,1
46,-116.567878,43.869386,1
47,-96.771558,50.005502,1
48,-120.504347,46.859694,1
49,-114.081595,46.725296,1
50,-121.844537,39.730313,1
51,-107.893883,38.485078,1
52,-108.622155,44.758469,1
53,-117.104818,46.746587,1
54,-109.068188,44.997781,1
55,-119.448803,49.858146,1
56,-122.942681,43.993012,1
57,-106.647858,35.887738,1
58,-122.377895,47.630419,1
59,-114.589749,47.012479,1
60,-116.978037,46.808875,1
61,-70.864963,42.549124,1
62,-103.531442,46.951837,1
63,-123.400901,40.321408,1
64,-111.960487,43.752462,1
65,-99.638625,46.996495,1
66,-105.783936,42.835236,1
67,-105.447778,35.8121,1
68,-111.965675,41.1643,1
69,-107.641461,38.855472,1
70,-82.601562,35.581017,1
71,-99.089907,40.674813,1
72,-107.96428,40.020017,1
73,-106.800163,41.451278,1
74,-109.0626,44.524013,1
75,-123.016105,44.162433,1
76,-111.826036,47.157345,1
77,-116.637183,45.372508,1
78,-104.594428,44.680888,1
79,-122.495317,41.469303,1
80,-123.021872,44.882939,1
81,-122.937575,42.332299,1
82,-105.532075,40.346717,1
83,-123.050408,39.907344,1
84,-107.103048,37.346179,1
85,-101.647732,41.209672,1
86,-99.560162,49.207678,1
87,-106.68847,44.353301,1
88,-96.171994,47.740359,1
89,-105.217947,40.248378,1
90,-109.46389,33.998129,1
91,-100.25752,42.96177,1
