,X_WGS84,Y_WGS84,boucur
1,-96.43933626,48.6308711,1
2,-95.88455376,45.74073825,1
3,-96.117402,48.73132,1
4,-99.30848166,44.82296817,1
5,-95.97428311,45.55913996,1
6,-96.48254992,45.37295249,1
7,-97.13885671,46.49863726,1
8,-97.2129692,46.37363286,1
9,-96.44577163,45.26792401,1
10,-96.03493215,47.03755944,1
11,-99.12726693,45.71327808,1
12,-99.07382878,46.5464142,1
13,-96.42307055,47.05082219,1
14,-96.21731207,46.86621298,1
15,-96.25334334,45.19822338,1
16,-96.53409979,48.7895127,1
17,-96.2991045,46.37156921,1
18,-97.29621906,46.55049312,1
19,-99.49335711,46.45172602,1
20,-99.23819672,46.42711201,1
21,-96.01556491,45.2652517,1
22,-96.21506964,46.68885224,1
23,-96.26896451,47.0088452,1
24,-96.48977855,48.02000252,1
25,-97.36977604,46.35348517,1
26,-96.95551984,46.11907016,1
27,-95.25308652,45.39627594,1
28,-95.48228391,45.3859895,1
29,-95.74223022,46.10793568,1
30,-96.56434338,45.45758243,1
31,-99.21591561,46.57697436,1
32,-96.3102956,45.36417496,1
33,-99.162418,44.39628322,1
34,-96.36199049,47.18765569,1
35,-95.96733671,45.45445627,1
36,-96.42672585,44.74654738,1
37,-95.5584475,45.61399329,1
38,-95.89983514,46.03345773,1
39,-95.27802357,45.09390305,1
40,-96.30416852,47.45673708,1
41,-98.88566502,46.48232155,1
42,-96.00302978,45.15215937,1
43,-96.75220957,45.5120588,1
44,-96.14398708,47.10819868,1
45,-97.40153917,46.494358,1
46,-99.45338717,45.29568027,1
47,-96.996451,50.634381,1
48,-96.938019,33.228296,1
49,-92.489879,44.139436,1
50,-75.569458,39.665492,1
51,-97.663528,32.434483,1
52,-98.083892,39.465472,1
53,-96.677176,33.054952,1
54,-99.710472,32.058237,1
55,-102.315528,35.742358,1
56,-99.586569,29.82855,1
57,-97.090866,32.735114,1
58,-97.052303,33.70611,1
59,-97.604831,33.590974,1
60,-89.766128,42.844062,1
61,-93.583481,41.982655,1
62,-97.96212,32.702087,1
63,-89.164234,40.651665,1
64,-93.208167,44.716587,1
