,X_WGS84,Y_WGS84,bougra
1,-96.42724459,44.74676556,1
2,-96.44284715,45.26546043,1
3,-96.27873782,47.71666145,1
4,-96.2128849,46.69040699,1
5,-99.12843134,45.71475154,1
6,-97.29437797,46.5540955,1
7,-96.30717368,47.51428572,1
8,-99.45467002,45.2909302,1
9,-96.00646712,45.14641022,1
10,-97.34935965,46.44631805,1
11,-97.21625109,46.37358019,1
12,-99.1971461,46.30059225,1
13,-95.74464496,46.10647467,1
14,-99.22383408,46.5787898,1
15,-99.3100966,44.82221757,1
16,-96.5678859,48.35645983,1
17,-97.37333789,46.3535343,1
18,-99.48722357,46.45484815,1
19,-99.36884268,45.77858489,1
20,-99.62785413,44.98314802,1
21,-96.41806869,45.06028214,1
22,-96.50040982,48.79775517,1
23,-96.71178935,45.44834972,1
24,-96.34501546,45.33636858,1
25,-99.22014571,45.27503007,1
26,-96.49101195,47.9937113,1
27,-99.24126123,46.42502429,1
28,-99.14893004,44.39799973,1
29,-96.5383806,48.55020391,1
30,-97.13549698,46.49521785,1
31,-97.42350429,46.53556294,1
32,-96.57203863,48.69115186,1
33,-96.95379635,46.12065664,1
34,-107.9136,42.9131,1
35,-100.866347,47.80218,1
36,-106.698716,52.029463,1
37,-99.332267,41.025683,1
38,-113.455537,50.830253,1
39,-112.130827,51.003403,1
40,-93.208267,44.716358,1
41,-112.810292,51.237034,1
42,-108.437954,47.678803,1
43,-109.970739,50.58191,1
44,-106.480833,50.964996,1
45,-108.785615,38.974029,1
46,-96.715817,32.854791,1
47,-104.927392,37.181821,1
48,-108.621825,45.751125,1
49,-109.807543,34.888627,1
50,-115.157897,35.573058,1
51,-98.819076,30.498462,1
52,-99.957235,33.9921,1
53,-103.645734,30.373214,1
54,-107.679558,33.912474,1
55,-102.422161,35.154645,1
56,-111.959367,37.492701,1
57,-107.681438,36.61237,1
58,-101.647568,34.937452,1
59,-112.100165,36.052677,1
60,-97.800066,35.23272,1
61,-112.962363,51.93827,1
62,-106.717973,51.910642,1
63,-108.485,32.638,1
64,-106.574,32.273,1
65,-104.837363,38.915069,1
66,-105.934341,35.528592,1
67,-104.830298,38.044062,1
68,-105.499788,37.752947,1
69,-108.961964,50.361338,1
70,-113.220732,52.986931,1
71,-107.767955,47.745759,1
72,-99.10656,47.16165,1
73,-106.60742,35.1052,1
74,-104.701753,38.757958,1
75,-98.125866,29.721601,1
76,-104.72998,50.715327,1
77,-96.9355,36.15879,1
78,-103.558585,33.333092,1
79,-104.421688,32.187178,1
80,-106.706983,37.721363,1
81,-108.881401,44.694226,1
82,-106.497073,35.097104,1
83,-113.222763,35.52248,1
84,-112.428144,37.048036,1
85,-105.547211,32.532894,1
86,-105.904442,32.976412,1
87,-105.830197,33.488115,1
88,-97.68813,30.300473,1
89,-112.211186,36.062074,1
90,-103.274059,29.270405,1
91,-105.182337,35.65213,1
92,-106.448028,35.33077,1
93,-100.454067,25.002841,1
94,-109.52,38.54,1
95,-105.31,34.99,1
96,-104.278595,32.447842,1
97,-105.201492,36.538094,1
98,-103.779751,41.741619,1
99,-92.98429,44.756681,1
100,-105.271887,39.898774,1
101,-106.117936,35.609562,1
102,-104.612722,36.737139,1
103,-104.606139,36.909278,1
104,-106.28685,37.38597,1
105,-102.856665,39.822794,1
106,-104.97573,38.25163,1
107,-103.43028,38.92306,1
108,-102.515465,38.693339,1
109,-105.71953,37.97611,1
110,-104.45104,40.97506,1
111,-104.305506,39.571375,1
112,-102.042197,37.068244,1
113,-103.70472,38.65167,1
114,-102.52481,39.75189,1
115,-102.15194,39.32056,1
116,-106.138905,38.909118,1
117,-105.78016,39.01619,1
118,-105.286097,38.913657,1
119,-102.66639,38.79083,1
120,-105.470425,39.149781,1
121,-103.043249,38.819879,1
122,-103.1625,38.85528,1
123,-103.700636,38.882297,1
124,-108.53479,37.18682,1
125,-108.662625,39.017478,1
126,-108.144973,38.052375,1
127,-105.9853,37.172223,1
128,-103.50611,38.715,1
129,-102.575807,39.431816,1
130,-105.510971,38.172477,1
131,-107.309169,37.190405,1
132,-107.4143,38.45219,1
133,-106.160696,37.049434,1
134,-103.342715,40.872517,1
135,-108.590115,38.777923,1
136,-105.464452,39.91776,1
137,-103.803647,40.317984,1
138,-105.197015,40.591792,1
139,-104.464251,39.026113,1
140,-104.752757,39.391376,1
141,-103.30703,39.127899,1
142,-105.498686,40.352909,1
143,-103.567936,37.047935,1
144,-107.251719,39.398592,1
145,-104.714422,39.009432,1
146,-106.713662,39.971684,1
147,-105.80654,38.187727,1
148,-105.655917,35.779067,1
149,-111.732222,35.031667,1
150,-105.868167,35.981967,1
151,-112.256394,36.780688,1
152,-104.969168,39.776204,1
153,-105.313922,40.705495,1
154,-104.839999,39.624365,1
155,-104.819978,38.739625,1
156,-104.876796,38.829058,1
