,X_WGS84,Y_WGS84,echang
1,-99.06709802,46.55242507,1
2,-96.00386227,45.74624006,1
3,-96.28495962,44.86486323,1
4,-97.401642,46.49468767,1
5,-96.02205771,48.52657395,1
6,-96.56043811,45.45873248,1
7,-95.13224413,45.40501878,1
8,-98.64984051,43.80844394,1
9,-96.70947714,45.44580543,1
10,-99.64173054,45.78344132,1
11,-96.365487,46.77076908,1
12,-99.49347395,46.45451312,1
13,-99.12409027,45.71614792,1
14,-96.43268511,44.68774929,1
15,-97.3612773,46.35331539,1
16,-95.48158275,45.38384021,1
17,-99.31018847,44.8290961,1
18,-96.17944487,47.19806886,1
19,-99.21694189,46.58156279,1
20,-99.24186917,46.42775335,1
21,-96.41619408,45.06208924,1
22,-99.81943812,45.52914557,1
23,-95.55874751,45.61395304,1
24,-99.45387583,45.29493943,1
25,-96.28988089,47.7108618,1
26,-95.86380143,45.9845699,1
27,-96.53979094,44.75343362,1
28,-99.21928883,45.27865352,1
29,-95.27830697,45.09411544,1
30,-96.30120496,46.97163241,1
31,-96.36197079,47.18989739,1
32,-99.14772179,44.3974508,1
33,-95.97237943,45.4610522,1
34,-98.88435854,46.48508792,1
35,-99.30338128,46.14540404,1
36,-99.64269211,44.97462978,1
37,-96.04543308,45.86535875,1
38,-96.42408111,47.05023057,1
39,-96.21297257,46.69019682,1
40,-99.1955874,46.30375408,1
41,-95.99469708,45.12741256,1
42,-96.28184608,45.35031917,1
43,-96.49157463,47.99878914,1
44,-96.41737794,45.2459045,1
45,-99.31174046,45.72448951,1
46,-98.88716891,46.02309514,1
47,-96.2174934,46.86609117,1
48,-97.197418,44.868523,1
49,-102.885081,47.444437,1
50,-96.974394,33.066073,1
51,-77.784767,43.124661,1
52,-97.206117,32.809055,1
53,-96.349258,33.133817,1
54,-96.897378,32.741437,1
55,-100.456925,35.76908,1
56,-96.70263,32.752191,1
57,-96.440007,39.129389,1
58,-79.37421,43.662013,1
59,-100.261978,47.36815,1
60,-96.958869,42.872275,1
61,-104.915249,38.857721,1
62,-93.164298,37.00101,1
63,-101.690169,34.979564,1
64,-96.53001,33.03465,1
65,-101.360623,33.89122,1
66,-98.093512,34.281972,1
67,-97.064189,33.259766,1
68,-100.113016,44.254592,1
69,-96.513447,30.090254,1
70,-99.071594,32.276533,1
71,-96.516344,33.257132,1
72,-97.873903,30.185033,1
73,-102.467973,43.273228,1
74,-96.713883,32.841883,1
75,-96.952793,42.739714,1
76,-102.673202,47.34219,1
77,-96.116487,31.902536,1
78,-103.655855,43.538635,1
79,-102.673317,48.124753,1
80,-97.801405,32.195195,1
81,-96.959491,32.639249,1
82,-100.866734,38.759229,1
83,-100.753042,46.840583,1
84,-103.441601,47.603096,1
85,-102.974846,37.462034,1
86,-102.501261,39.497355,1
87,-102.36806,39.51861,1
88,-102.764302,37.559331,1
89,-103.19212,37.33677,1
90,-102.307321,39.422791,1
91,-105.494895,38.066979,1
92,-103.09338,37.18296,1
93,-105.235948,39.960867,1
94,-101.179237,46.459317,1
95,-100.319267,44.3835,1
96,-103.151917,48.026467,1
97,-103.859874,44.626357,1
98,-102.235836,45.693663,1
99,-103.487128,45.874038,1
100,-104.105922,44.468905,1
101,-101.207099,44.694569,1
102,-98.516167,43.07336,1
103,-94.65513,37.19392,1
104,-96.590477,39.090968,1
105,-103.509083,46.952873,1
106,-98.156049,42.423694,1
107,-94.35529,45.47393,1
108,-95.281522,45.440736,1
109,-96.409668,47.652988,1
110,-100.440997,42.895719,1
111,-96.694458,33.456561,1
112,-100.862301,35.215818,1
113,-103.722798,44.730932,1
114,-96.808196,38.425573,1
115,-96.473308,46.85525,1
116,-103.127439,49.168981,1
117,-94.391488,45.593758,1
118,-101.390609,47.359981,1
119,-96.19941,43.692422,1
120,-99.730947,49.781323,1
121,-103.490199,43.439071,1
122,-96.783817,33.189519,1
123,-103.586332,43.780554,1
124,-97.389074,37.277527,1
125,-101.889851,33.624382,1
126,-96.461499,45.33319,1
127,-95.93368,43.942684,1
128,-95.304643,43.522292,1
129,-95.049966,44.086452,1
130,-95.927443,44.363181,1
131,-94.90439,43.522882,1
132,-96.64617,45.723544,1
133,-95.746813,45.816134,1
134,-95.713386,43.927816,1
135,-95.801166,46.100392,1
136,-95.105077,43.724929,1
137,-95.843726,43.507279,1
138,-96.34232,43.609066,1
139,-93.65853,43.506845,1
140,-95.881466,45.5498,1
141,-95.30637,45.303706,1
142,-94.842347,44.488589,1
143,-95.089317,45.838886,1
144,-95.196114,44.631448,1
