SN,X_WGS84,Y_WGS84,forb
1,-137.519319,60.750653,1
2,-137.06,60.37,1
3,-135.59903,59.271254,1
4,-135.324722,60.884931,1
5,-135.026225,60.661583,1
6,-134.881789,60.594628,1
7,-134.638978,60.173644,1
8,-133.78,59.58,1
9,-128.63,54.33,1
10,-127.106842,54.772658,1
11,-125.04,56.75,1
12,-124.91,50.25,1
13,-124.8,49.25,1
14,-124.65,49.3,1
15,-124.0678,42.5567,1
16,-124.047896,42.646055,1
17,-123.77485,42.337437,1
18,-123.699952,42.646351,1
19,-123.683556,45.964163,1
20,-123.674568,42.27796,1
21,-123.663208,42.15712,1
22,-123.625162,42.06577,1
23,-123.5833,42.5933,1
24,-123.558045,40.787237,1
25,-123.5344,42.3644,1
26,-123.524696,47.983316,1
27,-123.474147,41.379341,1
28,-123.400901,40.321408,1
29,-123.3652,47.924828,1
30,-123.344475,39.625825,1
31,-123.322428,44.476342,1
32,-123.3142,42.6322,1
33,-123.2972,43.4222,1
34,-123.278889,40.391389,1
35,-123.274901,44.587403,1
36,-123.266638,44.184995,1
37,-123.2659,44.7145,1
38,-123.25,49.25,1
39,-123.243544,41.667947,1
40,-123.2249,44.9191,1
41,-123.202033,44.102697,1
42,-123.191537,40.737347,1
43,-123.1695,42.4358,1
44,-123.1616,42.2513,1
45,-123.145889,45.0221,1
46,-123.1375,40.6025,1
47,-123.137222,41.298889,1
48,-123.121113,45.526998,1
49,-123.114,49.27,1
50,-123.085099,44.01534,1
51,-123.08068,39.093262,1
52,-123.062272,47.872837,1
53,-123.057644,40.477545,1
54,-123.050408,39.907344,1
55,-123.04,51.72,1
56,-123.021872,44.882939,1
57,-123.016105,44.162433,1
58,-123.015586,44.787865,1
59,-122.990465,45.500762,1
60,-122.9836,44.3936,1
61,-122.965655,39.403011,1
62,-122.9592,44.7636,1
63,-122.94504,38.648131,1
64,-122.9447,44.0927,1
65,-122.942681,43.993012,1
66,-122.937575,42.332299,1
67,-122.917347,39.777669,1
68,-122.894468,41.375074,1
69,-122.869458,45.849022,1
70,-122.839425,39.467817,1
71,-122.813805,40.856055,1
