,X_WGS84,Y_WGS84,geutri
1,-97.36701563,46.35377941,1
2,-96.14391114,47.1087889,1
3,-95.89157252,46.01739876,1
4,-96.43690903,45.25998204,1
5,-98.88688115,46.48283675,1
6,-96.21256085,46.68979398,1
7,-98.8833315,46.02217858,1
8,-96.15605433,48.46120688,1
9,-96.60740741,48.6691924,1
10,-95.74231924,46.10776427,1
11,-94.68071415,45.41830377,1
12,-95.99538264,45.12874436,1
13,-99.07410856,46.54709732,1
14,-96.41611797,45.06056834,1
15,-96.27889037,47.71675662,1
16,-96.25850759,48.66922488,1
17,-97.42210317,46.53882095,1
18,-96.0223183,48.5248352,1
19,-95.50901795,45.66947014,1
20,-99.25420079,46.33057973,1
21,-96.53749758,44.75321689,1
22,-95.12951947,45.40879502,1
23,-97.1137742,46.51967777,1
24,-97.34360338,46.44789792,1
25,-99.22292875,46.57761407,1
26,-96.55875499,45.45887324,1
27,-99.23835824,46.42301921,1
28,-99.49645137,46.45338815,1
29,-96.45134795,48.60136604,1
30,-96.35436145,47.18076669,1
31,-96.45623242,47.73173609,1
32,-96.26953288,47.00768606,1
33,-121.2239,46.800563,1
34,-112.130426,51.003529,1
35,-114.544117,50.028224,1
36,-105.823892,39.491803,1
37,-109.973269,50.581848,1
38,-120.84277,50.613897,1
39,-106.804367,39.039122,1
40,-114.321924,51.055347,1
41,-92.975028,45.089328,1
42,-106.278561,41.118887,1
43,-122.556431,51.972451,1
44,-114.410745,49.906942,1
45,-111.167122,45.064064,1
46,-114.682581,50.906708,1
47,-111.866037,45.077056,1
48,-121.479003,51.222428,1
49,-120.061836,50.848505,1
50,-113.087014,45.618063,1
51,-111.211163,44.704322,1
52,-113.244208,45.330455,1
53,-113.463968,46.934366,1
54,-107.722253,50.702185,1
55,-111.354788,44.85757,1
56,-114.846947,51.04435,1
57,-111.211058,42.972533,1
58,-78.947051,44.736777,1
59,-113.904728,51.658217,1
60,-114.897227,51.280097,1
61,-106.481785,50.962422,1
62,-122.180566,52.085743,1
63,-121.49968,50.638162,1
64,-119.579042,49.279969,1
65,-123.062272,47.872837,1
66,-112.895255,47.194083,1
67,-119.555917,49.054958,1
68,-98.227683,49.178272,1
69,-100.223494,50.765324,1
70,-100.34668,47.185272,1
71,-115.149722,50.917098,1
72,-119.574777,49.853789,1
73,-114.848074,51.483392,1
74,-119.366828,49.840046,1
75,-113.439828,48.748783,1
76,-119.594017,50.460625,1
77,-105.333977,50.584459,1
78,-106.953728,38.853062,1
79,-109.731553,44.931153,1
80,-99.942941,49.822425,1
81,-113.267045,53.683766,1
82,-100.264205,47.394108,1
83,-113.853486,43.642619,1
84,-91.069489,44.582312,1
85,-120.561635,49.914007,1
86,-100.03775,50.859012,1
87,-120.528825,44.509597,1
88,-93.642149,45.192692,1
89,-110.396906,43.141105,1
90,-107.66658,37.821503,1
91,-115.533257,51.211525,1
92,-110.238219,49.725332,1
