,X_WGS84,Y_WGS84,grass
2180,-136.857467,62.598422,1
2394,-124.85,54.06,1
2417,-124.627,54.1,1
2656,-124.509,42.74,1
2289,-124.426383,49.617527,1
2674,-124.3867,42.2581,1
2690,-124.0678,42.5567,1
2419,-124.05469,49.6126,1
2398,-123.94,49.17,1
2680,-123.8941,45.8196,1
2224,-123.8226,41.1542,1
2686,-123.7505,42.2952,1
2653,-123.7386,43.907,1
2693,-123.7233,45.9888,1
2094,-123.583579,48.312983,1
2685,-123.5476,44.4985,1
2077,-123.530249,48.533428,1
2679,-123.4941,45.6552,1
2530,-123.460064,48.923825,1
2037,-123.360613,44.566363,1
2396,-123.305,48.843,1
2677,-123.2715,42.6864,1
2078,-123.270659,48.574565,1
2400,-123.2695,48.7489,1
1141,-123.19,49.12,1
2069,-123.154583,44.730383,1
2694,-123.0342,43.2822,1
2220,-123.01222,40.98194,1
2047,-122.979792,42.244999,1
2177,-122.970456,44.010117,1
2678,-122.9643,42.4838,1
2205,-122.856389,38.810278,1
2211,-122.75728,38.93778,1
2509,-122.743526,38.063216,1
2696,-122.697,44.1637,1
2223,-122.657231,38.519282,1
2455,-122.651143,38.001889,1
2234,-122.6247,41.6788,1
2364,-122.617224,42.031167,1
2232,-122.59828,40.28876,1
2241,-122.585941,37.862469,1
2363,-122.506784,37.552116,1
2468,-122.456262,37.792103,1
2058,-122.448564,51.786411,1
2079,-122.42748,37.961266,1
2203,-122.420833,39.0375,1
2053,-122.417,38.875633,1
2231,-122.39972,37.681461,1
2209,-122.37711,38.480826,1
2250,-122.331667,41.495556,1
2349,-122.301583,37.92044,1
2183,-122.29792,37.46406,1
2204,-122.274444,38.898611,1
2258,-122.265178,51.984691,1
2695,-122.2081,44.0402,1
2408,-122.17,49.07,1
2535,-122.138533,49.37745,1
2243,-122.136854,38.476327,1
2466,-122.133417,37.755629,1
2248,-122.131944,41.865,1
2654,-122.0489,44.2767,1
2235,-122.04435,37.04709,1
2267,-122.03038,42.13195,1
2066,-122.013,37.886883,1
2405,-121.98,49.25,1
2247,-121.93335,36.61074,1
2217,-121.93082,40.82112,1
2222,-121.9118403,41.58392565,1
2052,-121.89785,37.160417,1
2472,-121.897221,37.907557,1
2216,-121.89314,36.33366,1
2688,-121.8912,45.6431,1
2410,-121.88,51.4,1
2253,-121.820556,39.205556,1
2471,-121.813837,37.53168,1
2668,-121.7806,42.225,1
2082,-121.751695,36.66198,1
2403,-121.745,49.286,1
2225,-121.6955,36.1769,1
2255,-121.692778,36.572778,1
2658,-121.64,44.4606,1
2684,-121.6242,44.5596,1
2245,-121.62395,40.78109,1
2089,-121.61,36.29,1
2681,-121.564,44.2983,1
2657,-121.5203,45.7056,1
2181,-121.5132,37.5868,1
2254,-121.488056,39.797222,1
2210,-121.473451,39.458855,1
2682,-121.4341,44.1744,1
2402,-121.4098,49.56241,1
2323,-121.362803,44.059066,1
2038,-121.343262,44.572072,1
2416,-121.34,50.42,1
2229,-121.31448,36.73259,1
2675,-121.3076,45.1647,1
2673,-121.3058,45.6853,1
2318,-121.291297,35.709868,1
2425,-121.229906,45.789333,1
2233,-121.21653,41.6166,1
2251,-121.169444,41.747222,1
