,X_WGS84,Y_WGS84,helpau
1,-99.25886155,46.32791977,1
2,-95.48239647,45.38347523,1
3,-95.91898327,47.39146506,1
4,-96.36271996,47.18815508,1
5,-96.95329503,46.12294733,1
6,-98.88158413,46.48479795,1
7,-96.52387907,48.80761111,1
8,-96.0354473,47.03586638,1
9,-96.21682608,46.86584797,1
10,-96.23712041,46.28643669,1
11,-99.14651211,44.39663105,1
12,-99.23806194,46.42091955,1
13,-99.64206884,45.78275023,1
14,-96.2787887,47.71666647,1
15,-95.27872389,45.09401864,1
16,-97.24063013,46.38126762,1
17,-96.25570762,45.19992218,1
18,-99.31112071,44.81916719,1
19,-97.36556103,46.44553795,1
20,-98.56711959,43.65457797,1
21,-96.48699786,45.37223114,1
22,-98.65183214,43.79975966,1
23,-95.97427456,45.55918805,1
24,-99.76923957,45.51672212,1
25,-96.57240719,48.68849488,1
26,-96.21200304,46.69158918,1
27,-95.54731019,45.10500533,1
28,-96.00650853,45.14710735,1
29,-97.37312512,46.352817,1
30,-96.35225431,48.67093879,1
31,-96.00369856,45.74627053,1
32,-99.63477524,44.98076211,1
33,-96.51344251,48.55943935,1
34,-96.37632773,47.82068899,1
35,-99.32271422,45.72139168,1
36,-96.41888433,44.71198779,1
37,-98.93055967,45.99480446,1
38,-99.07509964,46.54581321,1
39,-94.67672542,45.41972693,1
40,-96.29016219,47.51242003,1
41,-99.49470626,46.45430651,1
42,-95.90077677,46.03337006,1
43,-96.04541154,45.86537455,1
44,-96.71615247,48.92776154,1
45,-96.17781985,47.19805709,1
46,-96.75288574,45.51357346,1
47,-99.12702612,45.71484324,1
48,-96.3364971,46.41375532,1
49,-99.22307778,46.57749526,1
50,-99.30428091,46.14852022,1
51,-96.445302,45.26768463,1
52,-96.0084341,45.42667441,1
53,-96.44282405,47.73238657,1
54,-95.69477511,45.55949995,1
55,-95.13156658,45.40558089,1
56,-96.02108063,48.5268868,1
57,-96.55570348,47.99196036,1
58,-96.14590137,47.10889328,1
59,-97.10654923,46.51425868,1
60,-99.45216869,45.29527232,1
61,-96.31144222,45.36554752,1
62,-92.961763,44.789717,1
63,-113.708916,50.806945,1
64,-99.241334,47.1282,1
65,-108.243991,37.395261,1
66,-105.209352,39.881837,1
67,-105.27872,39.995704,1
68,-104.932802,38.855139,1
69,-104.714422,39.009432,1
70,-105.56325,38.07938,1
71,-105.112508,37.327506,1
72,-97.272521,49.887878,1
73,-88.613561,40.746583,1
74,-88.414441,42.363284,1
75,-88.101277,40.686494,1
76,-100.597009,45.711298,1
77,-94.710806,37.394625,1
78,-96.85395,40.69414,1
79,-114.230033,51.10832,1
80,-93.60973,44.739906,1
81,-87.468268,41.348689,1
82,-95.100285,43.780918,1
83,-114.04805,51.057403,1
84,-115.093976,51.077862,1
85,-89.815091,43.189524,1
86,-114.39508,51.167993,1
87,-108.759818,49.613757,1
88,-89.027722,43.823389,1
89,-89.672213,43.123435,1
90,-91.5365,44.062972,1
91,-104.809662,49.256312,1
92,-95.665276,45.795791,1
93,-95.633532,47.768499,1
94,-95.068744,46.885175,1
95,-92.147645,47.851534,1
96,-91.657232,47.033895,1
97,-92.822836,44.69499,1
98,-95.500112,45.665152,1
99,-96.878443,48.448866,1
100,-95.304643,43.522292,1
101,-92.499267,43.797643,1
102,-94.490576,47.43333,1
103,-91.999312,44.301458,1
104,-96.235363,46.159244,1
105,-93.938472,43.927792,1
106,-95.843726,43.507279,1
107,-94.30491,44.72505,1
108,-91.618987,48.017108,1
109,-94.30299,46.106283,1
110,-92.348771,43.985077,1
111,-96.473403,46.854948,1
112,-91.120321,47.409711,1
113,-93.684222,45.451167,1
114,-94.460055,46.987154,1
115,-91.64095,43.56565,1
116,-91.651851,47.726088,1
117,-92.839221,43.739545,1
118,-93.05149,45.433953,1
119,-93.179094,43.666432,1
120,-97.007913,48.854641,1
