,X_WGS84,Y_WGS84,hescom
1,-96.02337752,48.52319059,1
2,-96.41158139,45.26184249,1
3,-96.60715881,48.66914354,1
4,-96.41641745,45.06082869,1
5,-99.62320779,44.98003376,1
6,-99.07675817,46.55424512,1
7,-97.23973433,46.37807369,1
8,-96.4519325,48.60165685,1
9,-99.45227673,45.29539629,1
10,-99.48818464,46.45546103,1
11,-96.30325869,47.46143406,1
12,-97.35550812,46.44648842,1
13,-96.37629949,47.82062261,1
14,-99.30985068,44.82643878,1
15,-97.37035624,46.35261806,1
16,-95.89794628,46.03483949,1
17,-97.29272506,46.55115923,1
18,-96.42578406,44.74677131,1
19,-99.23735912,46.42235277,1
20,-99.19627857,46.30280675,1
21,-96.4540465,46.83411141,1
22,-96.97020711,46.12019836,1
23,-95.74202411,46.10793564,1
24,-99.12826245,45.71692781,1
25,-97.42603429,46.53586771,1
26,-95.55830213,45.61419415,1
27,-95.21013792,45.39503985,1
28,-97.11350723,46.52045016,1
29,-96.17481169,47.19628343,1
30,-96.2145824,46.68905613,1
31,-96.75118058,45.51372708,1
32,-115.062714,38.274239,1
33,-109.956703,50.580935,1
34,-106.474591,50.96281,1
35,-108.778028,39.052133,1
36,-117.0718,36.230944,1
37,-116.990647,38.531669,1
38,-105.60999,41.419023,1
39,-105.924942,35.553463,1
40,-99.680082,45.31242,1
41,-105.290274,40.211655,1
42,-104.556976,42.202161,1
43,-96.409907,47.60859,1
44,-117.254762,43.292612,1
45,-103.989593,45.449173,1
46,-112.192025,37.607219,1
47,-119.522972,49.093675,1
48,-119.61785,49.000858,1
49,-115.655128,36.354953,1
50,-105.173651,39.970484,1
51,-115.53232,36.069522,1
52,-110.63517,34.393877,1
53,-109.783952,35.07993,1
54,-103.717156,42.565666,1
55,-109.747904,37.659011,1
56,-105.84828,32.963495,1
57,-106.114687,36.832985,1
58,-106.99557,37.16918,1
59,-105.153528,36.898222,1
60,-104.64025,40.92136,1
61,-102.31586,39.7889,1
62,-102.8303,37.0079,1
63,-107.29912,38.08217,1
64,-103.3554,37.73255,1
65,-104.51415,40.9686,1
