,X_WGS84,Y_WGS84,hesspa
1,-96.71740782,48.92500155,1
2,-96.00416939,45.74593528,1
3,-99.19651436,46.3009339,1
4,-96.41632467,45.06288498,1
5,-99.33013707,45.76834455,1
6,-96.7527808,45.51526522,1
7,-97.37293946,46.35219959,1
8,-96.2673868,44.99264488,1
9,-98.88705734,46.02236127,1
10,-96.45966221,46.83536028,1
11,-97.11328394,46.52121375,1
12,-99.29978217,44.84720147,1
13,-95.50959258,45.67024227,1
14,-96.0352116,47.03906592,1
15,-96.95542194,46.12248373,1
16,-99.62955189,44.98231687,1
17,-96.36233817,47.18804792,1
18,-95.15728505,45.39992469,1
19,-99.2431568,46.42228718,1
20,-95.86337546,45.98348591,1
21,-96.0088309,45.42653305,1
22,-96.43328707,44.68844037,1
23,-99.06368013,46.55123149,1
24,-96.25798532,48.66926411,1
25,-95.97430397,45.55913727,1
26,-96.28614642,44.86479466,1
27,-96.53425042,44.75287467,1
28,-95.28569262,45.4407025,1
29,-96.56379696,45.45777483,1
30,-95.48123344,45.38359324,1
31,-96.15750968,48.45717334,1
32,-94.68031648,45.41824666,1
33,-95.60630861,46.20553141,1
34,-96.31125776,45.3645573,1
35,-96.21471668,46.69024786,1
36,-97.23556174,46.3795505,1
37,-95.74418312,45.81756736,1
38,-97.293491,46.55264241,1
39,-96.486418,45.37281456,1
40,-96.60648071,48.71886541,1
41,-97.34648298,46.44918735,1
42,-99.12527556,45.71692731,1
43,-96.43499435,45.25824547,1
44,-95.99985522,45.14661633,1
45,-96.25590418,45.19760331,1
46,-99.22393475,46.58066844,1
47,-99.49654047,46.45324863,1
48,-97.42619338,46.53505366,1
49,-96.56819997,48.35687096,1
50,-93.273065,45.210764,1
51,-96.409907,47.60859,1
52,-89.393288,43.182483,1
53,-89.864191,44.140833,1
54,-89.927891,40.378738,1
55,-99.677204,45.317872,1
56,-96.428734,47.063761,1
57,-87.218051,41.603042,1
58,-99.88122,42.72676,1
59,-89.843791,44.283529,1
60,-96.6097,39.103088,1
61,-92.82304,44.710602,1
62,-96.369462,42.496013,1
63,-89.469482,44.207356,1
64,-92.95582,44.7901,1
65,-87.978239,42.558623,1
66,-100.91535,46.76972,1
67,-83.014838,46.174096,1
68,-85.493292,42.604787,1
69,-95.861518,41.407357,1
70,-93.988129,49.068796,1
71,-104.703056,36.865833,1
72,-105.204991,39.90583,1
73,-105.282525,39.986667,1
74,-104.672481,39.02018,1
75,-104.740437,39.096525,1
76,-104.752757,39.391376,1
77,-105.152141,40.564859,1
78,-97.531194,50.610583,1
79,-89.407258,43.52087,1
80,-90.296845,42.221867,1
81,-100.593147,45.707582,1
82,-82.022133,46.099514,1
83,-88.047608,41.79932,1
84,-95.530565,45.535082,1
85,-87.65992,45.109147,1
86,-87.578002,41.787014,1
87,-95.893891,45.094238,1
88,-87.689886,41.604876,1
89,-82.724319,46.196147,1
90,-91.134728,44.586684,1
91,-87.39528,41.623235,1
92,-87.806839,42.411012,1
93,-89.750372,43.292891,1
94,-89.876211,43.694579,1
95,-93.720081,45.461036,1
96,-89.044887,42.569147,1
97,-90.108562,42.054626,1
98,-87.860717,41.772501,1
99,-95.670432,44.916322,1
100,-93.246093,45.076212,1
101,-93.880398,45.344924,1
102,-93.127673,43.980403,1
103,-95.699254,44.262693,1
104,-94.147916,45.694846,1
105,-93.275893,44.79271,1
106,-93.193857,45.407304,1
107,-92.845058,43.869368,1
108,-92.778479,44.85671,1
109,-91.42281,43.767743,1
110,-95.35356,43.922133,1
111,-95.090158,44.115294,1
112,-93.646861,44.690243,1
113,-95.176068,45.044095,1
114,-96.403547,46.975077,1
115,-96.14142,47.115026,1
116,-93.41247,45.577664,1
117,-94.383188,46.338159,1
118,-95.222784,47.145259,1
119,-92.886174,45.607842,1
120,-95.276817,47.957511,1
121,-93.678267,43.724343,1
122,-94.053164,45.420314,1
123,-104.752611,37.078111,1
124,-96.802328,40.697644,1
125,-88.905221,43.964457,1
126,-97.5755,51.632389,1
127,-89.001201,42.387044,1
128,-94.796941,50.330289,1
129,-94.399994,50.236557,1
130,-80.123319,42.560944,1
131,-80.2972,43.15901,1
