,X_WGS84,Y_WGS84,koemac
1,-96.0219298,48.52432567,1
2,-95.89077112,46.01748392,1
3,-96.71724136,48.9250456,1
4,-96.36233649,47.18939158,1
5,-97.3656736,46.35281457,1
6,-96.17516457,47.19661779,1
7,-97.14162679,46.49482199,1
8,-96.38541451,47.05511466,1
9,-96.71038161,45.44772812,1
10,-97.21081032,46.37451419,1
11,-97.42299643,46.53829486,1
12,-96.56785816,48.35691069,1
13,-95.74502986,45.81734603,1
14,-96.4585713,48.01160708,1
15,-97.35067762,46.44881578,1
16,-99.31623853,45.72609582,1
17,-97.29441988,46.55413573,1
18,-95.99486992,45.12994649,1
19,-96.25845806,48.66929186,1
20,-99.22404799,46.57897563,1
21,-99.19607841,46.30462705,1
22,-96.41156627,45.26182398,1
23,-99.23752567,46.42124665,1
24,-96.60717616,48.66918214,1
25,-96.56343235,45.45801116,1
26,-96.53380299,48.78952954,1
27,-96.303695,47.46162383,1
28,-96.14436468,47.10807463,1
29,-99.6399374,44.97737573,1
30,-99.12446838,45.71551878,1
31,-96.53593549,44.75282792,1
32,-96.45200375,48.60162685,1
33,-99.30916596,44.82771639,1
34,-96.26659337,44.99235181,1
35,-96.47301785,46.85572344,1
36,-99.8177521,45.53369204,1
37,-96.30945104,45.3642848,1
38,-96.97202733,46.12016764,1
39,-95.97256576,45.46110744,1
40,-95.24262344,45.43565026,1
41,-96.15690828,48.4574452,1
42,-112.846192,49.679087,1
43,-94.494597,36.205188,1
44,-87.793468,45.415783,1
45,-96.63131,40.811079,1
46,-109.970752,50.581923,1
47,-107.729259,50.697473,1
48,-93.273065,45.210764,1
49,-89.842386,44.140883,1
50,-118.928042,48.824612,1
51,-106.480856,50.965273,1
52,-104.822957,39.470674,1
53,-116.716081,33.764611,1
54,-99.680101,45.312369,1
55,-123.340613,44.566363,1
56,-121.343262,44.572072,1
57,-107.102372,39.370567,1
58,-106.701375,52.02952,1
59,-103.985075,45.552943,1
60,-92.820374,44.692581,1
61,-93.719628,45.461358,1
62,-91.920883,44.255787,1
63,-119.581506,49.283797,1
64,-90.108562,42.054626,1
65,-122.979792,42.244999,1
66,-105.286003,40.109303,1
67,-114.431055,51.179139,1
68,-104.871774,39.156315,1
