,X_WGS84,Y_WGS84,pengra
1,-96.117699,48.731205,1
2,-96.47276983,46.85589158,1
3,-96.29047902,47.51439036,1
4,-95.53472835,45.58437938,1
5,-97.36526038,46.44399937,1
6,-95.43867653,45.65772653,1
7,-96.95383332,46.1206675,1
8,-96.48066365,48.58854999,1
9,-97.41767183,46.53901448,1
10,-95.29003526,45.43816089,1
11,-97.2152171,46.37485206,1
12,-97.36914639,46.35097898,1
13,-95.74485962,46.10647588,1
14,-96.42624197,44.74697515,1
15,-96.44413926,45.26682322,1
16,-89.686517,43.119397,1
17,-96.409379,47.608439,1
18,-99.351586,42.921439,1
19,-93.246814,45.095589,1
20,-103.698838,43.872966,1
21,-96.95935,42.873742,1
22,-92.912082,44.886323,1
23,-89.151555,43.969412,1
24,-95.782867,46.716347,1
25,-95.047406,46.940838,1
26,-96.469864,42.564747,1
27,-91.184745,46.579464,1
28,-92.955795,44.790072,1
29,-87.574969,41.78243,1
30,-99.685858,42.537995,1
31,-95.646787,46.271773,1
32,-93.351922,45.394578,1
33,-89.85334,44.184254,1
34,-93.639383,45.195687,1
35,-89.440839,43.030244,1
36,-92.942504,44.514766,1
37,-92.68634,44.979576,1
38,-93.62908,45.308532,1
39,-91.294595,43.969966,1
40,-94.722481,44.454497,1
41,-93.404121,44.997625,1
42,-90.379582,43.184951,1
43,-92.736333,45.23059,1
44,-95.334305,46.000489,1
45,-93.155914,44.727233,1
46,-89.349128,41.883567,1
47,-95.408589,44.733139,1
48,-92.474787,42.512945,1
49,-93.52061,44.819109,1
50,-90.242029,43.276577,1
51,-90.181463,43.151516,1
52,-89.639604,43.556075,1
53,-98.072614,41.012668,1
54,-92.823508,44.714505,1
55,-96.965042,32.596595,1
56,-92.785309,44.846005,1
57,-100.39959,44.436293,1
58,-92.798703,44.539564,1
59,-96.576874,39.077939,1
60,-89.871377,43.860932,1
61,-94.215729,46.344595,1
62,-93.164955,45.382061,1
63,-103.558288,43.849995,1
64,-92.617547,41.153978,1
65,-93.197887,44.90051,1
66,-98.492303,40.796153,1
67,-94.355489,44.043155,1
68,-98.305057,42.621187,1
69,-89.876215,43.694443,1
70,-105.104141,40.608294,1
71,-93.702999,41.772765,1
72,-94.3595,45.47316,1
73,-90.060254,43.200636,1
74,-94.336966,46.264988,1
75,-97.376953,42.04287,1
76,-102.884086,42.792758,1
77,-101.390703,47.360018,1
78,-93.725108,45.464432,1
79,-93.119798,44.819119,1
80,-89.445409,43.120011,1
81,-95.888409,45.052514,1
82,-91.526798,41.625475,1
83,-93.158011,45.178087,1
84,-89.266883,44.069976,1
