,X_WGS84,Y_WGS84,ratcol
1,-96.31114561,45.3645327,1
2,-99.21711758,46.58140663,1
3,-99.21934021,45.27978717,1
4,-98.94007707,45.99800987,1
5,-96.36514602,46.77098625,1
6,-96.20567537,46.25773173,1
7,-99.321741,45.76784247,1
8,-96.71267497,45.45050568,1
9,-97.29952882,46.55438438,1
10,-99.06660005,46.55775709,1
11,-95.20962523,45.45216039,1
12,-96.44515095,45.26753032,1
13,-99.63716048,45.78630818,1
14,-99.63062083,44.98088482,1
15,-96.11784294,44.67702989,1
16,-96.4066434,47.24916926,1
17,-99.12558217,45.71437833,1
18,-96.00679529,45.15167616,1
19,-96.49048146,47.99182977,1
20,-99.4900398,46.45207009,1
21,-99.14908628,44.39433277,1
22,-99.23697799,46.42582556,1
23,-98.87312469,46.48081541,1
24,-98.66553437,43.80486671,1
25,-97.36937807,46.35401317,1
26,-96.27865367,47.71762658,1
27,-98.56686696,43.65696493,1
28,-96.41671501,45.06004582,1
29,-97.11194761,46.5201153,1
30,-96.42719415,44.74517133,1
31,-97.40231669,46.4931537,1
32,-99.19969361,46.30298022,1
33,-97.24079858,46.38153843,1
34,-99.30199793,44.8295074,1
35,-89.007166,42.385469,1
36,-106.895092,52.143434,1
37,-100.510462,49.52468,1
38,-105.219546,40.247037,1
39,-104.841021,39.856235,1
40,-113.901703,50.937287,1
41,-104.675682,31.112872,1
42,-105.511662,44.265103,1
43,-104.02078,30.304164,1
44,-106.533682,52.158478,1
45,-98.194345,32.220088,1
46,-109.553003,45.288155,1
47,-105.286035,40.108696,1
48,-111.506318,50.766391,1
49,-96.489398,32.824937,1
50,-105.411203,50.593067,1
51,-100.261134,25.334068,1
52,-109.967576,50.581588,1
53,-105.135879,40.169093,1
54,-110.631329,45.407027,1
55,-109.439362,45.079242,1
56,-105.161512,39.59114,1
57,-81.909058,41.09742,1
58,-104.782726,40.428873,1
59,-104.904539,39.662552,1
60,-112.40122,42.819913,1
61,-106.760541,52.093395,1
62,-105.043922,39.649955,1
63,-110.166585,46.45077,1
64,-111.111986,47.574161,1
65,-107.731044,50.700069,1
66,-108.464242,45.775597,1
67,-110.182022,48.901017,1
68,-98.908861,29.16381,1
69,-99.023391,29.992134,1
70,-102.902268,34.865281,1
71,-96.641344,31.726806,1
72,-104.774923,39.73601,1
73,-92.86666,45.516521,1
74,-105.385516,40.020759,1
75,-98.485404,29.771507,1
76,-94.197987,45.477602,1
77,-85.78075,41.643836,1
78,-104.985858,50.023638,1
79,-92.82713,44.564106,1
80,-99.162698,29.370799,1
81,-98.488362,40.534275,1
82,-97.304162,31.606933,1
83,-100.389874,44.070578,1
84,-98.000695,30.177033,1
85,-98.441269,31.022827,1
86,-98.540815,30.151721,1
87,-100.112769,32.488624,1
88,-99.617364,30.116886,1
89,-97.104796,27.785994,1
90,-96.523284,42.680979,1
91,-99.338875,29.783071,1
92,-99.122353,29.728047,1
93,-97.1027,49.85667,1
94,-98.364638,43.290637,1
95,-105.151005,40.410906,1
96,-96.852311,32.391672,1
97,-106.47639,50.960764,1
98,-92.805633,45.078628,1
99,-97.45597,35.233608,1
100,-97.920359,31.50187,1
101,-94.950088,45.212075,1
102,-100.261947,47.369625,1
103,-95.883105,45.577089,1
104,-101.853301,41.237529,1
105,-97.17702,43.717102,1
106,-101.067633,34.417746,1
107,-96.469273,42.562445,1
108,-96.546275,34.933278,1
109,-97.351874,32.925259,1
110,-100.873246,35.213053,1
111,-96.694517,41.836422,1
112,-96.544643,30.626834,1
113,-102.651115,32.647251,1
114,-100.50632,42.895931,1
115,-99.801003,30.43675,1
116,-100.42897,30.157108,1
117,-103.160911,29.743128,1
118,-93.172888,44.7053,1
119,-99.716462,35.742229,1
120,-92.9908,37.197997,1
121,-104.879183,38.826535,1
122,-96.569297,33.723012,1
123,-93.547995,44.275397,1
124,-111.546966,35.179361,1
125,-98.693663,29.639542,1
126,-111.882662,40.507872,1
127,-92.788943,45.191552,1
128,-101.366811,35.109287,1
129,-93.385129,44.973752,1
130,-96.806645,44.306272,1
131,-92.450306,38.863554,1
132,-97.977482,29.573684,1
133,-100.229409,25.740737,1
134,-95.372049,30.123425,1
135,-109.794624,34.975719,1
136,-105.160989,39.692688,1
