,X_WGS84,Y_WGS84,symnov
1,-89.441029,32.33654,1
2,-96.483154,32.679565,1
3,-88.517363,35.042545,1
4,-90.031661,35.343624,1
5,-86.02988,35.448644,1
6,-105.171255,35.52728,1
7,-106.106392,35.56682,1
8,-83.688133,35.952616,1
9,-95.993437,36.083032,1
10,-94.184723,36.105556,1
11,-82.326375,36.315234,1
12,-87.00704,36.38385,1
13,-90.113153,36.722037,1
14,-76.098792,36.90482,1
15,-80.931878,36.947425,1
16,-80.002241,37.202367,1
17,-89.015222,37.311847,1
18,-93.404817,37.313645,1
19,-84.296111,37.716111,1
20,-84.235997,37.808597,1
21,-95.67904,37.99546,1
22,-78.432237,38.001083,1
23,-79.57612,38.002261,1
24,-105.514105,38.183107,1
25,-85.700055,38.240352,1
26,-91.335948,38.383146,1
27,-78.860503,38.433442,1
28,-90.825194,38.47525,1
29,-90.381958,38.540847,1
30,-90.594819,38.583017,1
31,-92.234428,38.587503,1
32,-90.257491,38.614967,1
33,-90.30487,38.69891,1
34,-83.410467,38.763114,1
35,-89.950325,38.76545,1
36,-94.468172,38.783102,1
37,-95.16294,38.79918,1
38,-90.839131,38.80271,1
39,-84.455993,38.82335,1
40,-92.350205,38.840733,1
41,-77.061615,38.841215,1
42,-104.828502,38.845337,1
43,-90.099256,38.912039,1
44,-76.178472,38.912822,1
45,-76.91414,38.924192,1
46,-77.146222,38.92833,1
47,-82.554349,38.929745,1
48,-74.943979,38.938362,1
49,-79.963506,38.939277,1
50,-92.340842,38.940263,1
51,-79.66858,38.941169,1
52,-95.268514,38.944025,1
53,-91.990013,38.949055,1
54,-78.194923,38.96057,1
55,-77.360623,38.972597,1
56,-94.75117,38.98556,1
57,-77.06429,39.002935,1
58,-84.48562,39.018359,1
59,-84.161479,39.019053,1
60,-95.201264,39.047567,1
61,-94.85688,39.05924,1
62,-76.775894,39.069846,1
63,-94.36115,39.085965,1
64,-93.19768,39.097471,1
65,-84.667838,39.101917,1
66,-95.50289,39.10583,1
67,-79.454994,39.121852,1
68,-86.51068,39.133658,1
69,-84.519659,39.138242,1
70,-96.58478,39.192439,1
71,-84.424263,39.19683,1
72,-95.44551,39.23727,1
73,-84.193074,39.24232,1
74,-76.597,39.244042,1
75,-85.912028,39.245308,1
76,-95.27404,39.24699,1
77,-84.690165,39.290757,1
78,-76.695533,39.307033,1
79,-95.10015,39.33268,1
80,-82.016156,39.335907,1
81,-94.939819,39.353504,1
82,-88.148217,39.403545,1
83,-76.54654,39.417309,1
84,-76.761956,39.433604,1
85,-95.05257,39.47521,1
86,-77.805664,39.486167,1
87,-88.31063,39.492347,1
88,-95.68132,39.49385,1
89,-76.846808,39.518125,1
90,-95.516602,39.528552,1
91,-76.353622,39.532378,1
92,-76.512026,39.581073,1
93,-106.532205,39.630891,1
94,-82.233452,39.645719,1
95,-86.011318,39.680348,1
96,-89.603554,39.694111,1
97,-82.60341,39.695966,1
98,-75.141369,39.731782,1
99,-104.961712,39.731836,1
100,-95.30739,39.73913,1
101,-90.247772,39.755183,1
102,-89.763612,39.757159,1
103,-105.133263,39.772122,1
104,-80.075509,39.796401,1
105,-74.093552,39.803037,1
106,-89.618989,39.806051,1
107,-86.316867,39.808041,1
108,-83.899541,39.808973,1
109,-96.660589,39.842134,1
110,-95.31166,39.86079,1
111,-75.669903,39.879847,1
112,-83.996234,39.881195,1
113,-75.506182,39.890336,1
