,X_WGS84,Y_WGS84,verhas
1,-96.40480776,45.25463145,1
2,-95.48224303,45.38934632,1
3,-96.67687621,48.91032144,1
4,-94.89765705,45.41068407,1
5,-97.35928894,46.35252623,1
6,-95.88297771,45.73954839,1
7,-97.21113184,46.37461175,1
8,-97.34901046,46.44648473,1
9,-96.56389821,45.45772127,1
10,-99.3086545,44.81891078,1
11,-97.10491746,46.51833683,1
12,-96.52548739,48.799798,1
13,-95.96775949,45.45417087,1
14,-96.01527675,45.26592673,1
15,-96.0356659,47.04099502,1
16,-96.36444854,46.77050438,1
17,-77.734397,43.997637,1
18,-79.483047,44.123494,1
19,-79.085802,43.038313,1
20,-90.920928,46.351617,1
21,-81.010255,40.042506,1
22,-79.221269,46.118369,1
23,-88.170133,43.075007,1
24,-64.331334,45.037821,1
25,-89.290433,43.197704,1
26,-81.144516,43.259572,1
27,-93.639746,45.14636,1
28,-76.357864,44.983281,1
29,-90.436874,46.562172,1
30,-89.321716,41.215481,1
31,-88.735353,37.867122,1
32,-81.525709,40.011542,1
33,-87.307502,45.699277,1
34,-84.253853,45.428642,1
35,-80.98549,41.851657,1
36,-97.213655,49.871798,1
37,-74.113057,40.558647,1
38,-82.966025,42.347225,1
39,-92.7258,45.538492,1
40,-74.981693,40.035871,1
41,-95.430134,44.73889,1
42,-89.751969,44.362822,1
43,-83.245341,42.523997,1
44,-84.179012,39.642356,1
45,-80.394199,41.412845,1
46,-92.308623,43.743422,1
47,-89.385257,46.658782,1
48,-82.421631,39.994549,1
49,-93.534484,47.293021,1
50,-88.310823,43.014199,1
51,-92.89975,43.680572,1
52,-90.400597,41.588547,1
53,-88.037682,43.030692,1
54,-81.224585,42.947584,1
55,-88.151368,42.49717,1
56,-71.439366,41.84277,1
57,-83.176745,42.136314,1
58,-73.440939,45.424784,1
59,-82.103346,40.751616,1
60,-80.990075,44.280563,1
61,-121.833743,39.733701,1
62,-90.32436,43.367053,1
63,-78.359936,44.212591,1
64,-79.496132,44.620006,1
65,-74.046065,40.795459,1
66,-72.327423,42.15917,1
67,-77.289392,45.065403,1
68,-81.470183,40.918075,1
69,-73.767764,45.385611,1
70,-92.81709,44.940577,1
71,-83.203839,42.029122,1
72,-78.418492,45.556034,1
73,-81.737594,46.109537,1
74,-76.769012,39.679103,1
75,-89.034937,43.056059,1
76,-90.042633,43.963162,1
77,-72.98813,41.399191,1
78,-87.841711,42.907751,1
79,-75.638462,45.45164,1
80,-89.815085,43.651615,1
81,-94.99101,44.55125,1
82,-89.578468,43.776554,1
83,-81.54821,39.90816,1
84,-79.103464,41.330161,1
85,-88.632281,46.567253,1
86,-72.659559,43.924522,1
87,-94.036587,44.162851,1
88,-79.799378,39.522117,1
89,-88.252429,42.612918,1
90,-88.331576,42.428412,1
91,-82.227405,41.440735,1
92,-93.143796,45.020659,1
93,-83.365842,42.546383,1
94,-84.388183,39.245872,1
95,-84.057641,40.760278,1
96,-72.10208,42.207759,1
97,-81.517202,41.014518,1
98,-81.936312,41.485978,1
99,-93.578567,42.417172,1
100,-93.638037,45.256424,1
101,-81.481322,43.356875,1
102,-105.12685,40.541806,1
103,-81.263593,40.392014,1
104,-76.758202,42.443508,1
105,-88.68689,42.016104,1
106,-79.959309,43.191968,1
107,-74.174003,42.091317,1
108,-77.769849,44.137598,1
109,-93.505141,44.882093,1
110,-88.344535,42.290232,1
111,-76.995274,39.648978,1
112,-88.059738,41.927874,1
113,-89.50655,43.090323,1
114,-84.990101,45.33944,1
115,-86.397249,39.147526,1
116,-77.347179,44.107082,1
117,-95.23918,45.353338,1
118,-77.255519,45.887987,1
119,-74.122969,41.038058,1
120,-79.285692,43.098072,1
121,-81.322683,41.147015,1
122,-75.480145,40.324156,1
123,-111.871907,40.742496,1
124,-80.885481,42.973423,1
125,-103.729818,42.424751,1
126,-79.228826,44.878771,1
127,-75.829246,39.589725,1
128,-71.493788,43.208767,1
129,-80.321534,43.072917,1
130,-84.505078,38.031955,1
131,-74.419243,45.553981,1
132,-81.70028,43.752472,1
133,-92.387105,45.465352,1
134,-84.119739,42.166083,1
135,-89.166017,43.253417,1
136,-93.319952,43.632567,1
137,-87.977637,43.80614,1
138,-79.732724,44.841163,1
139,-89.781716,43.433217,1
140,-93.713704,44.883284,1
141,-75.924384,40.249935,1
142,-79.922345,43.820434,1
143,-84.010646,39.739276,1
144,-81.579602,43.703588,1
145,-72.926537,41.316088,1
146,-67.511032,44.719581,1
147,-94.041038,43.907569,1
148,-91.876003,47.903527,1
149,-76.77513,41.795578,1
150,-93.67703,44.208403,1
151,-84.204252,39.185909,1
152,-88.123205,42.625357,1
153,-66.608964,46.204666,1
154,-85.163963,42.29878,1
155,-80.568078,43.48783,1
156,-73.246052,43.517434,1
157,-79.588783,38.703895,1
158,-73.471461,45.543465,1
159,-83.181579,40.036292,1
160,-74.7682,39.892178,1
161,-94.38631,45.4631,1
162,-80.34709,43.5122,1
163,-92.12867,47.391397,1
164,-82.144675,41.299103,1
165,-71.086739,42.451258,1
166,-100.086808,42.233876,1
167,-99.335433,41.025142,1
168,-73.820634,43.532121,1
169,-87.965654,41.190054,1
170,-76.30829,44.70368,1
171,-78.008286,42.133397,1
172,-87.776471,46.775996,1
173,-93.359479,45.307831,1
174,-81.896301,40.779653,1
175,-80.680697,41.088617,1
176,-79.377034,46.23388,1
177,-93.07103,44.911725,1
178,-96.056829,41.181642,1
179,-74.050693,45.751172,1
180,-92.311334,43.994963,1
181,-78.786406,43.870398,1
182,-74.73794,41.05905,1
183,-79.752883,43.410992,1
184,-75.174243,40.204768,1
185,-72.874345,43.942312,1
186,-78.853689,42.846972,1
187,-85.365298,42.419866,1
188,-79.900231,38.388678,1
189,-71.441857,42.529088,1
190,-89.384353,43.45629,1
191,-74.60218,44.960312,1
192,-93.151771,44.519483,1
193,-82.049107,41.398328,1
194,-92.733004,47.091364,1
195,-73.474395,41.734421,1
196,-81.388711,44.240083,1
197,-89.888955,44.114445,1
198,-93.707428,45.459942,1
199,-93.750297,41.432428,1
200,-72.721563,43.742955,1
201,-85.085547,41.616242,1
202,-80.441208,40.511295,1
203,-71.407077,41.943104,1
204,-92.901458,44.806728,1
205,-89.687967,46.232853,1
206,-71.700892,42.203904,1
207,-91.977037,46.882717,1
208,-82.093675,41.023342,1
209,-90.273055,42.430608,1
210,-90.175438,38.816673,1
211,-89.623305,44.950763,1
212,-81.628261,42.91884,1
213,-87.763124,41.988971,1
214,-81.797537,41.049022,1
215,-93.225838,44.719483,1
216,-74.711025,40.466278,1
217,-92.456437,44.100658,1
218,-95.915818,42.914318,1
219,-93.633142,42.064283,1
220,-77.918622,44.209157,1
221,-72.362832,43.083094,1
222,-92.272357,46.661169,1
223,-84.568947,44.031375,1
224,-77.575069,44.104341,1
225,-78.287025,40.480122,1
226,-91.379089,43.842918,1
227,-105.129888,39.996481,1
228,-88.893732,46.491728,1
229,-76.652717,38.960699,1
230,-89.566244,44.540516,1
231,-75.131391,45.406857,1
232,-88.043205,42.553378,1
233,-78.123229,44.618412,1
234,-76.613388,44.233822,1
