,X_WGS84,Y_WGS84,verstr
1,-96.41742219,45.06054617,1
2,-96.28991375,47.71078514,1
3,-97.29408796,46.55280033,1
4,-97.23607765,46.38080845,1
5,-96.75139076,45.51372865,1
6,-97.35998942,46.44640305,1
7,-96.4553037,46.83404985,1
8,-96.48293674,45.37358545,1
9,-97.37401544,46.35610464,1
10,-97.11112107,46.5198364,1
11,-95.14443839,45.3891612,1
12,-94.92721882,45.38416673,1
13,-99.32067339,45.76771142,1
14,-96.49602366,48.58997261,1
15,-95.9673901,45.45446608,1
16,-96.97245765,46.12352199,1
17,-96.43948839,45.26268587,1
18,-95.89838088,46.03454906,1
19,-98.56393757,43.65736491,1
20,-97.4255105,46.53885904,1
21,-96.42269424,44.74429575,1
22,-99.15234164,44.39923157,1
23,-96.45860634,48.0116238,1
24,-96.00796656,45.15064587,1
25,-98.65954399,43.80552021,1
26,-92.799858,44.537638,1
27,-94.89754,38.879912,1
28,-94.99039,44.54987,1
29,-94.092347,45.459142,1
30,-78.127844,44.281556,1
31,-88.956015,42.200324,1
32,-91.201515,43.768762,1
33,-80.058328,43.879927,1
34,-87.961753,42.488403,1
35,-97.320604,39.092224,1
36,-75.861113,45.073386,1
37,-81.390505,42.95058,1
38,-91.01818,42.734742,1
39,-93.410165,44.732797,1
40,-91.481076,44.018053,1
41,-83.839341,41.544215,1
42,-103.527139,41.951257,1
43,-97.197051,37.186993,1
44,-81.87548,43.242971,1
45,-94.240925,45.536763,1
46,-80.128901,44.111274,1
47,-78.398936,44.307807,1
48,-80.760751,43.147799,1
49,-79.775566,43.26368,1
50,-98.030761,38.724605,1
51,-90.344567,40.825772,1
52,-95.888712,45.052636,1
53,-88.567078,42.846078,1
54,-94.866097,45.26597,1
55,-97.588523,38.834292,1
56,-93.116141,45.368906,1
57,-95.012098,39.144884,1
58,-83.666288,41.458514,1
59,-93.628828,44.718395,1
60,-79.087878,44.006981,1
61,-88.308638,43.256925,1
62,-96.065124,41.136635,1
63,-80.099265,44.471098,1
64,-90.105422,42.051272,1
65,-93.426619,43.014749,1
66,-93.265555,44.815425,1
67,-92.776785,45.175161,1
68,-93.406045,45.17903,1
69,-92.834359,45.027159,1
70,-94.37397,45.46311,1
71,-93.188788,44.470855,1
72,-89.964937,42.77538,1
73,-88.238753,42.313136,1
74,-97.408295,42.002586,1
75,-88.718966,42.743406,1
76,-88.024105,41.549717,1
77,-94.088852,44.156378,1
78,-92.287338,39.009325,1
79,-93.409095,37.294963,1
80,-95.40853,38.998345,1
81,-89.735811,43.356081,1
